sample-id	absolute-filepath	Group	Colour
O68-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O68-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O68-7d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O68-7d-new.341F_806R.fastq.gz	Z1	#D4D4D4
O69-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O69-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O69-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O69-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O69-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O69-1d.341F_806R.fastq.gz	Z1	#D4D4D4
O69-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O69-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O70-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O70-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O70-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O70-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O70-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O70-1d.341F_806R.fastq.gz	Z1	#D4D4D4
O70-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O70-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O71-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O71-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O71-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O71-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O71-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O71-1d.341F_806R.fastq.gz	Z1	#D4D4D4
O71-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O71-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O72-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O72-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O72-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O72-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O72-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O72-1d.341F_806R.fastq.gz	Z1	#D4D4D4
O72-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O72-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O73-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O73-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O73-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O73-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O73-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O73-1d.341F_806R.fastq.gz	Z1	#D4D4D4
O73-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O73-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P74-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P74-0d.341F_806R.fastq.gz	Z1	#D4D4D4
P74-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P74-14d.341F_806R.fastq.gz	Z1	#D4D4D4
P74-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P74-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
P74-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P74-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P75-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P75-0d.341F_806R.fastq.gz	Z1	#D4D4D4
P75-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P75-14d.341F_806R.fastq.gz	Z1	#D4D4D4
P75-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P75-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
P75-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P75-1d.341F_806R.fastq.gz	Z1	#D4D4D4
P75-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P75-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P76-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P76-0d.341F_806R.fastq.gz	Z1	#D4D4D4
P76-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P76-14d.341F_806R.fastq.gz	Z1	#D4D4D4
P76-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P76-1d.341F_806R.fastq.gz	Z1	#D4D4D4
P76-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P76-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P77-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P77-0d.341F_806R.fastq.gz	Z1	#D4D4D4
P77-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P77-14d.341F_806R.fastq.gz	Z1	#D4D4D4
P77-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P77-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
P77-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P77-1d.341F_806R.fastq.gz	Z1	#D4D4D4
P77-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P77-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P78-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P78-0d.341F_806R.fastq.gz	Z1	#D4D4D4
P78-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P78-14d.341F_806R.fastq.gz	Z1	#D4D4D4
P78-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P78-1d.341F_806R.fastq.gz	Z1	#D4D4D4
P78-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P78-7d.341F_806R.fastq.gz	Z1	#D4D4D4
P79-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/P79-0d.341F_806R.fastq.gz	Z1	#D4D4D4
